2026-05-18 19:47:00,576 | INFO     | StreamingEngine      | ============================================================
2026-05-18 19:47:00,576 | INFO     | StreamingEngine      | 🚀 Starting Real-Time Financial Market Streaming Engine
2026-05-18 19:47:00,576 | INFO     | StreamingEngine      | ============================================================
2026-05-18 19:47:00,576 | INFO     | StreamingEngine      | 📋 Symbols: BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, ADAUSDT, DOGEUSDT
2026-05-18 19:47:00,576 | INFO     | StreamingEngine      | ⏱️  Price interval: 5s
2026-05-18 19:47:00,576 | INFO     | StreamingEngine      | ⏱️  OHLC interval: 60s
2026-05-18 19:47:00,576 | INFO     | StreamingEngine      | 📡 Data source: Binance Public API
2026-05-18 19:47:00,576 | INFO     | StreamingEngine      | ============================================================
2026-05-18 19:47:00,601 | INFO     | src.db_manager       | ✅ Connected to PostgreSQL: postgres@localhost:5432/portofolio_db
2026-05-18 19:47:00,776 | ERROR    | StreamingEngine      | 💀 Cannot start — Binance API unreachable
2026-05-18 19:47:27,200 | INFO     | StreamingEngine      | ============================================================
2026-05-18 19:47:27,200 | INFO     | StreamingEngine      | 🚀 Starting Real-Time Financial Market Streaming Engine
2026-05-18 19:47:27,200 | INFO     | StreamingEngine      | ============================================================
2026-05-18 19:47:27,200 | INFO     | StreamingEngine      | 📋 Symbols: BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, ADAUSDT, DOGEUSDT
2026-05-18 19:47:27,200 | INFO     | StreamingEngine      | ⏱️  Price interval: 5s
2026-05-18 19:47:27,200 | INFO     | StreamingEngine      | ⏱️  OHLC interval: 60s
2026-05-18 19:47:27,200 | INFO     | StreamingEngine      | 📡 Data source: Binance Public API
2026-05-18 19:47:27,200 | INFO     | StreamingEngine      | ============================================================
2026-05-18 19:47:27,222 | INFO     | src.db_manager       | ✅ Connected to PostgreSQL: postgres@localhost:5432/portofolio_db
2026-05-18 19:47:27,342 | ERROR    | StreamingEngine      | 💀 Cannot start — Binance API unreachable
2026-05-18 19:47:40,772 | INFO     | StreamingEngine      | ============================================================
2026-05-18 19:47:40,772 | INFO     | StreamingEngine      | 🚀 Starting Real-Time Financial Market Streaming Engine
2026-05-18 19:47:40,772 | INFO     | StreamingEngine      | ============================================================
2026-05-18 19:47:40,772 | INFO     | StreamingEngine      | 📋 Symbols: BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, ADAUSDT, DOGEUSDT
